High;close;volume
17,52000046;17,43000031;7225146
17,60000038;17,54000092;5586853
17,59000015;17,54000092;3230610
17,40999985;17,28000069;7711093
17,35000038;17,22999954;4936808
17,59000015;17,37999916;15087500
17,48999977;17,19000053;29690160
17,21999931;16,98999977;11492830
17,20999908;17,09000015;18266460
17,29999924;17,18000031;10327304
17,37999916;17,26000023;7985817
17,37999916;17,17000008;7943881
17,25;17,19000053;4468784
17,29999924;17,21999931;4810077
17,37000084;17,25;8081826
17,54000092;17,45000076;9372276
17,54999924;17,46999931;10995544
17,56999969;17,36000061;7120687
17,40999985;17,22999954;6389820
17,52000046;17,45000076;10193103
17,76000023;17,70000076;11370780
17,90999985;17,84000015;9984089
17,96999931;17,77000046;16358533
18;17,89999962;9082729
18,12000084;18,09000015;11817200
18,35000038;18,23999977;7081505
18,29999924;18,28000069;7919585
18,39999962;18,31999969;9390093
18,45000076;18,34000015;11465170
18,45999908;18,35000038;10619820
18,31999969;18,18000031;13596800
18,25;18,22999954;11475590
18,29000092;18,19000053;12512200
18,27000046;18,21999931;10262550
18,39999962;18,29999924;10836438
18,5;18,48999977;10915830
18,57999992;18,45000076;9376153
18,60000038;18,46999931;9395545
18,81999969;18,78000069;16570023
18,79999924;18,64999962;39391800
18,86000061;18,65999985;11362906
18,95000076;18,86000061;22662698
19,18000031;19,11000061;13284750
19,20999908;19,15999985;4203982
19,25;19,14999962;12895570
19,22999954;19,18000031;1839619
19,28000069;19,20000076;2518685
19,28000069;19,15999985;4431832
19,35000038;19,20000076;5518292
19,17000008;19,15999985;10206190
19,11000061;18,85000038;63194200
19,04000092;18,87999916;39980936
18,96999931;18,89999962;47273660
18,76000023;18,54999924;21020194
19,04999924;18,81999969;70507940
19,04000092;18,97999954;6310496
19,34000015;19,25;26798024
19,54000092;19,38999939;37376690
19,45000076;19,39999962;32415012
19,47999954;19,30999947;10711100
19,29000092;19,21999931;7002061
19,31999969;19,20000076;15249296
19,43000031;19,34000015;11102719
19,45000076;19,44000053;21610750
19,42000008;19,40999985;16401430
19,54999924;19,54999924;7931494
19,57999992;19,45000076;8784783
19,60000038;19,60000038;6958638
19,73999977;19,73999977;10567773
19,72999954;19,70999908;8335018
19,73999977;19,69000053;5851721
19,87000084;19,86000061;8992910
20,09000015;20,09000015;12663580
20,06999969;20,02000046;7051556
20,01000023;19,98999977;8906168
20,04000092;19,95999908;6343749
20,10000038;20,10000038;8122371
20,06999969;19,95999908;7609318
20,12000084;20,12000084;7834989
20,17000008;20,06999969;6567454
20,53000069;20,28000069;10780270
20,63999939;20,63999939;9971557
20,63999939;20,46999931;7029650
20,06999969;20,06999969;33043244
20,03000069;20;10399410
20,37000084;20,28000069;16928170
20,57999992;20,52000046;9491739
20,70999908;20,55999947;11075720
20,67000008;20,64999962;7981150
20,87000084;20,70999908;11248610
21,25;21,02000046;12911676
21,35000038;21,35000038;8003335
21,28000069;21,22999954;8792048
21,20999908;21,14999962;6954968
21,47999954;21,18000031;9298361
20,95000076;20,73999977;23600248
20,96999931;20,84000015;5181681
20,94000053;20,78000069;14093270
